"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"111",109,"K MADALU VIRUPAKSHAPPA","BJP","AEKE1983",73794,"VADNAL RAJANNA","INC","AEKR8123",53355
"112",110,"M P RENUKACHARYA","BJP","AEKE1995",80624,"D. G SHANTANA GOWDA","INC","AEKR9840",78789
"113",111,"K.B. ASHOK NAIK","BJP","AEKE18321",69326,"SHARADA POORYANAIK","JD(S)","AEKR13031",48639
"114",112,"B.K.SANGAMESHWARA.","INC","AEKE2020",75722,"APPAJI. M.J","JD(S)","AEKR5826",78370
"115",113,"K.S. ESHWARAPPA","BJP","AEKE2038",104027,"K.B. PRASANNAKUMAR","INC","AEKR15605",39355
"116",114,"ARAGA JNANENDRA","BJP","AEKE2052",67527,"KIMMANE RATNAKAR","INC","AEKR9856",37160
"117",115,"B S YADIYURAPPA","BJP","AEKE2060",86983,"B.S.YADIYURAPPA","KJP","AEKR2174",69126
"118",116,"S.KUMARA BANGARAPPA","BJP","AEKE435",72091,"S.MADHU BANGARAPPA","JD(S)","AEKR11466",58541
"119",117,"H HALAPPA HARATHALU","BJP","AEKE18376",78475,"KAGODU THIMMAPPA","INC","AEKR891",71960
"120",118,"B. M. SUKUMAR SHETTY","BJP","AEKE2093",96029,"K.GOPALA POOJARY","INC","AEKR8045",82277
"121",119,"HALADY SRINIVAS SHETTY","BJP","AEKE2105",103434,"HALADY SRINIVASA SHETTY","IND","AEKR13101",80563
"122",120,"K RAGHUPATHI BHAT","BJP","AEKE4453",84946,"PRAMOD MADHWARAJ","INC","AEKR11350",86868
"123",121,"LALAJI .R. MENDON","BJP","AEKE2119",75893,"VINAY KUMAR SORAKE","INC","AEKR15685",52782
"124",122,"V. SUNIL KUMAR","BJP","AEKE2129",91245,"V.SUNILL KUMAR","BJP","AEKR11368",65039
"125",123,"T D RAJEGOWDA","INC","AEKE2139",62780,"D.N. JEEVARAJ","BJP","AEKR8066",58402
"126",124,"M.P.KUMARASWAMY","BJP","AEKE2148",58783,"B.B. NINGAIAH","JD(S)","AEKR3607",32417
"127",125,"C T RAVI","BJP","AEKE2154",70863,"C T RAVI","BJP","AEKR9797",58683
