"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"36",34,"M Y PATIL","INC","AEKE987",71735,"MALIKAYYA VENKAYYA GUTTEDAR","INC","AEKR2616",38093
"37",35,"AJAY DHARAM SINGH","INC","AEKE1001",68508,"AJAY DHARAM SINGH","INC","AEKRXX44",67038
"38",36,"NARASIMHANAYAK (RAJUGOUDA)","BJP","AEKE1016",104426,"RAJA VENKATAPPA NAYAK","INC","GEKR23028",65033
"39",37,"SHARANABASAPPA GOUDA DARSHANAPUR","INC","AEKE1026",78642,"GURU PATIL SHIRAVAL","KJP","AEKR14579",54924
"40",38,"VENKATREDDY MUDNAL","BJP","AEKE18602",62227,"DR. MAALAKAREDDY","INC","AEKR2646",40434
"41",39,"NAGANGOUDA KANDKUR","JD(S)","AEKE1046",79627,"BABURAO CHINCHANASOOR","INC","AEKR4440",36051
"42",40,"PRIYANK KHARGE","INC","AEKE98",69700,"PRIYANK M. KHARGE","INC","AEKR14610",69379
"43",41,"RAJKUMAR PATIL","BJP","AEKE1070",80668,"DR SHARANPRAKASH PATIL","INC","AEKR10337",53546
"44",42,"DR. UMESH G JADHAV","INC","AEKE1082",73905,"DR UMESH G JADAV","INC","AEKR14632",58599
"45",43,"BASAWARAJ MATTIMUD","BJP","AEKE18635",61750,"G.RAMKRISHNA","INC","AEKR14644",40075
"46",44,"DATTATRAYA C PATIL REVOOR APPU GOUDA","BJP","AEKE1109",64788,"DATTATRAYA C. PATIL REVOOR (APPU GOUDA)","BJP","AEKR14668",36850
"47",45,"KANEEZ FATIMA","INC","AEKE1134",64311,"QAMAR UL ISLAM","INC","AEKR1224",50498
"48",46,"GUTTEDAR SUBHASH RUKMAYYA","BJP","AEKE1149",76815,"B.R. PATIL","KJP","AEKR12367",67085
"49",47,"B. NARAYANRAO","INC","AEKE1162",61425,"MALLIKARJUN SIDRAMAPPA KHUBA","JD(S)","AEKR10260",37494
"50",48,"RAJSHEKHAR","INC","AEKE19327",74945,"RAJASHEKHAR BASAVARAJ PATIL","INC","AEKR12377",64694
"51",49,"BANDEPPA","JD(S)","AEKE1191",55107,"ASHOK KHENY","KMP","AEKR14744",47763
"52",50,"RAHIM KHAN","INC","AEKE32",73270,"GURUPADAPPA NAGAMARPALLI","KJP","AEKR2531",50718
"53",51,"ESHWAR KHANDRE","INC","AEKE1228",84673,"ESHWARA KHANDRE","INC","AEKR10217",58012
"54",52,"PRABHU CHAUHAN","BJP","AEKE1240",75061,"PRABHU B. CHAVAN","BJP","AEKR12429",61826
"55",53,"BASANAGOUDA DADDAL","INC","AEKE3929",66656,"THIPPARAJU","BJP","AEKR14816",50497
"56",54,"DR. SHIVARAJ PATIL","BJP","AEKE1265",56511,"DR. SHIVARAJ PATIL S.","JD(S)","AEKR14822",45263
"57",55,"RAJA VENKATAPPA NAYAK","JD(S)","AEKE1287",53548,"G.HAMPAYYA SAHUKAR BALLATAGI","INC","AEKR12454",50619
"58",56,"SHIVANA GOUDA NAYAK","BJP","AEKE42",67003,"A. VENKATESH NAIK","INC","AEKR12466",62070
"59",57,"D. S. HOOLAGERI","INC","AEKE18721",54230,"MANAPPA D.VAJJAL","JD(S)","AEKR12477",31737
"60",58,"VENKATRAO NADAGOUDA","JD(S)","AEKE1317",71514,"BADARLI HAMPANAGOUDA","INC","AEKR12491",49213
"61",59,"PRATAPGOUDA PATIL","INC","AEKE1329",60387,"PRATAPGOWDA PATIL","INC","AEKR12495",45552
"62",60,"AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR","INC","AEKE1340",87567,"DODDANAGOUDA HANAMAGOUDA PATIL","BJP","AEKR10421",44007
